Timestamp,experience,current_tool,tools_used,fav_tool,past_industries,country,title,Email address,reasons,current_industry,virtual_users
1/05/2021 9:49,11-15 years,We have built in house PT tool in Telstra.,"LoadRunner, JMeter",LoadRunner,Telecommunications,Australia,Senior Performance Engineer / Performance Architect,,,,
1/05/2021 10:09,1-5 years,JMeter,"JMeter, Locust, NeoCortix",JMeter,"Emerging Technologies (i.e. IOT, AI, Blockchain, AR, Biometrics)",USA,CEO,,,,
1/05/2021 10:19,6-10 years,Rational Performance Tester,"NeoLoad, JMeter, Rational Performance Tester",NeoLoad,"Government, Insurance",USA,Performance Tester,,,,
1/05/2021 10:30,> 15 years,JMeter,"LoadRunner, NeoLoad, JMeter, OctoPerf, BlazeMeter",LoadRunner,"Retail, Financial services, Government",Canada,Tech Architect Manager,,,,
1/05/2021 10:58,6-10 years,LoadRunner,"LoadRunner, JMeter, Gatling",LoadRunner,Financial services,India,Test Lead,,,,
1/05/2021 11:08,6-10 years,LoadRunner,"LoadRunner, JMeter, Locust",LoadRunner,"Financial services, Education, Telecommunications",India,Lead performance engineer,,,,
1/05/2021 11:43,6-10 years,JMeter,"LoadRunner, NeoLoad, JMeter, BlazeMeter, Soasta",NeoLoad,"Retail, Financial services, Transport, Telecommunications",Colombia,Senior QA Engineer,,,,
1/05/2021 11:53,11-15 years,LoadRunner,"LoadRunner, JMeter, OctoPerf, BlazeMeter",JMeter,"Retail, Financial services, Telecommunications",USA,Performance Engineer,,,,
1/05/2021 11:54,6-10 years,JMeter,JMeter,JMeter,Financial services,India,Performance analyst,,,,
1/05/2021 12:14,6-10 years,OctoPerf,"LoadRunner, OctoPerf, Rational Performance Tester",LoadRunner,Financial services,India,Senior QA,,,,
1/05/2021 12:21,6-10 years,LoadRunner,"LoadRunner, StressStimulus",LoadRunner,Financial services,Australia,Performance Test lead ,,,,
1/05/2021 12:38,6-10 years,JMeter,"LoadRunner, JMeter",LoadRunner,"Retail, Financial services",India,Senior Performance Engineer,,,,
1/05/2021 12:41,1-5 years,JMeter,"LoadRunner, JMeter, BlazeMeter",JMeter,"Retail, Data Protection",India,SE - Performance Engineering,,,,
1/05/2021 12:43,6-10 years,JMeter,"LoadRunner, JMeter",JMeter,"Retail, Financial services, Telecommunications",India,Senior Test Analyst,,,,
1/05/2021 12:44,6-10 years,LoadRunner,LoadRunner,LoadRunner,"Retail, Government, Life Sciences",India,Test Lead,,,,
1/05/2021 12:48,1-5 years,LoadRunner,LoadRunner,LoadRunner,Telecommunications,India,Senior Performance Test Engineer,,,,
1/05/2021 12:58,1-5 years,JMeter,None,NeoCortix,Transport,India,Senior Software Engineer ,,,,
1/05/2021 13:06,11-15 years,JMeter,LoadRunner,LoadRunner,Financial services,India,Performance Test Specialist,,,,
1/05/2021 13:12,> 15 years,NetStorm,NetStorm,NetStorm,"Retail, Financial services, Government",USA,Consultant,,,,
1/05/2021 13:14,11-15 years,JMeter,JMeter,JMeter,Automotive,India,Lead Performance Engineer,,,,
1/05/2021 13:21,1-5 years,LoadRunner,"LoadRunner, JMeter",JMeter,"Telecommunications, Healthcare",India,Performance Analyst,,,,
1/05/2021 13:33,11-15 years,Soasta,"LoadRunner, EggPlant, Soasta",LoadRunner,Retail,USA,Technical Test Lead,,,,
1/05/2021 13:44,> 15 years,LoadRunner,LoadRunner,LoadRunner,"Financial services, Government",India,Service delivery manager ,,,,
1/05/2021 13:48,0 - 1 year,JMeter,JMeter,JMeter,Financial services,India,SQA,,,,
1/05/2021 13:58,6-10 years,In-house Springboot application written for volume runs. PoC in progress for Gatling (as http based) and Element (UI based) with FloodIO execution environment,LoadRunner,LoadRunner,"Retail, Financial services",India,Performance Analyst,,,,
1/05/2021 13:59,1-5 years,BlazeMeter,"LoadRunner, JMeter",LoadRunner,Financial services,India,Associate Software Engineer,,,,
1/05/2021 14:06,6-10 years,LoadRunner,JMeter,LoadRunner,"Utilities (i.e. water, gas , electricity), Transport, Entertainment",India,Sr performance engineer,,,,
1/05/2021 14:20,11-15 years,Rational Performance Tester,LoadRunner,LoadRunner,"Financial services, Telecommunications",India,Performance test lead,,,,
1/05/2021 14:22,6-10 years,JMeter,LoadRunner,LoadRunner,"Retail, Financial services, Health and wellness",India,Performance Test Analyst,,,,
1/05/2021 14:58,1-5 years,JMeter,"LoadRunner, JMeter",JMeter,"Retail, Telecommunications",India,MTS-II IT Quality Assurance,,,,
1/05/2021 15:05,1-5 years,JMeter,"LoadRunner, JMeter",JMeter,Financial services,India,Performance Test Engineer,,,,
1/05/2021 15:05,6-10 years,JMeter,"LoadRunner, JMeter",JMeter,Digital,India,Senior Performance tester,,,,
1/05/2021 15:10,6-10 years,Inhouse tool,"LoadRunner, JMeter, LoadUI",JMeter,"Financial services, Aerospace",India,Staff Performance Engineer,,,,
1/05/2021 15:41,11-15 years,JMeter,JMeter,JMeter,Financial services,New Zealand,Performance Engineer,,,,
1/05/2021 15:51,1-5 years,JMeter,"LoadRunner, JMeter",JMeter,Education,India,System Engineer,,,,
1/05/2021 15:51,6-10 years,Python scripting,JMeter,JMeter,"Retail, Education, Telecommunications",India,Performance engineer,,,,
1/05/2021 15:59,11-15 years,STAC Test Harness,STAC Test Harness,STAC Test Harness,Financial services,USA,Senior Performance Architect,,,,
1/05/2021 16:15,1-5 years,LoadRunner,LoadRunner,LoadRunner,"Retail, Financial services, Telecommunications",India,Performance Tester ,,,,
1/05/2021 16:26,6-10 years,JMeter,"LoadRunner, JMeter",LoadRunner,"Retail, Financial services",India,Software Engineer,,,,
1/05/2021 16:26,6-10 years,LoadRunner,"LoadRunner, JMeter, Silk Performer",LoadRunner,"Financial services, Telecommunications",India,Performance Test Engineer,,,,
1/05/2021 16:28,1-5 years,LoadRunner,LoadRunner,LoadRunner,Financial services,India,Performance Test Engineer,,,,
1/05/2021 16:31,1-5 years,JMeter,"JMeter, Rational Performance Tester, BlazeMeter",JMeter,"Financial services, Telecommunications",India,Test Engineer,,,,
1/05/2021 16:36,1-5 years,LoadRunner,LoadRunner,LoadRunner,"Utilities (i.e. water, gas , electricity)",India,Performance Test Analyst,,,,
1/05/2021 16:38,1-5 years,LoadRunner,"LoadRunner, NeoLoad, JMeter",LoadRunner,"Retail, Financial services, Transport, Telecommunications",India,Performance Tester,,,,
1/05/2021 17:06,> 15 years,Gatling,"LoadRunner, NeoLoad, JMeter, Gatling",NeoLoad,"Government, ICT",Netherlands,Independent performancetest engineer,,,,
1/05/2021 17:06,1-5 years,LoadRunner,LoadRunner,LoadRunner,"Utilities (i.e. water, gas , electricity)",India,Performance Test Engineer,,,,
1/05/2021 17:23,1-5 years,Artillery,"K6, Locust, Artillery",Artillery,"Entertainment, IAM",UK,Senior Engineer II,,,,
1/05/2021 17:27,1-5 years,LoadRunner,"LoadRunner, JMeter",LoadRunner,Financial services,India,Test Engineer,,,,
1/05/2021 17:36,11-15 years,OctoPerf,OctoPerf,OctoPerf,"Retail, Financial services, Utilities (i.e. water, gas , electricity), Education, Transport, Telecommunications, Entertainment, Government",France,Performance director,,,,
1/05/2021 17:57,11-15 years,Gatling,JMeter,JMeter,"Financial services, Transport",Singapore ,Senior performance engineer ,,,,
1/05/2021 18:45,6-10 years,JMeter,LoadRunner,LoadRunner,"Financial services, Transport",India,Technical Lead,,,,
1/05/2021 18:59,6-10 years,LoadRunner,"JMeter, Gatling, Locust",LoadRunner,"Retail, Financial services",India,Technology Consultant,,,,
1/05/2021 19:11,6-10 years,LoadRunner,"LoadRunner, JMeter",JMeter,"Emerging Technologies (i.e. IOT, AI, Blockchain, AR, Biometrics)",India,Sr Performance Engg,,,,
1/05/2021 19:50,11-15 years,LoadRunner,"LoadRunner, JMeter",LoadRunner,"Retail, Financial services",Switzerland ,Performance Engineer ,,"Experience with the tool, Tool already procured",Financial services,
1/05/2021 20:06,0 - 1 year,Netstorm,Netstorm,BlazeMeter,Government,India,Associate Product Management,,Right tool for right job,Financial services,
2/05/2021 15:32,11-15 years,JMeter,"JMeter, OctoPerf, Apica",LoadRunner,"Retail, Financial services",Australia,Performance Engineer,,"Right tool for right job, Experience with the tool",Financial services,100 - 999 VUs
1/05/2021 20:19,6-10 years,LoadRunner,"LoadRunner, JMeter, BlazeMeter",LoadRunner,"Retail, Financial services, Telecommunications, Insurance",India,Performance testing lead,,Right tool for right job,Insurance,
1/05/2021 20:22,6-10 years,JMeter,"JMeter, Silk Performer",Silk Performer,"Financial services, Education, HR and ESS",India,Senior Consultant,,Cost considerations,Financial services,
1/05/2021 20:51,6-10 years,JMeter,JMeter,JMeter,Retail,India,Software test engineer,,,,
1/05/2021 21:57,11-15 years,LoadRunner,"LoadRunner, JMeter",LoadRunner,Financial services,India,Performance testing Manager,,"Right tool for right job, Experience with the tool, Tool already procured",Financial services,
1/05/2021 23:16,6-10 years,LoadRunner,"LoadRunner, JMeter, BlazeMeter",LoadRunner,"Retail, Financial services, Telecommunications",India,Senior Performance specialist,,"Right tool for right job, Experience with the tool, Support readily available",Telecommunications,
1/05/2021 23:31,> 15 years,LoadRunner,"LoadRunner, NeoLoad, JMeter",NeoLoad,Financial services,Switzerland ,Performance Consultant ,,Tool already procured,Financial services,
1/05/2021 23:33,11-15 years,LoadRunner,LoadRunner,LoadRunner,"Retail, Financial services, Telecommunications, Entertainment",Netherlands,Performance Engineer,,"Right tool for right job, Experience with the tool",Financial services,
2/05/2021 0:42,6-10 years,NeoLoad,"NeoLoad, JMeter",LoadRunner,"Retail, Financial services",India,Consultant,,Cost considerations,Financial services,
2/05/2021 3:26,11-15 years,LoadRunner,LoadRunner,LoadRunner,"Retail, Transport, Telecommunications",India,Lead Performance engineer,,"Right tool for right job, Experience with the tool, Tool already procured, Support readily available",Financial services,
2/05/2021 8:20,> 15 years,Gatling,LoadRunner,LoadRunner,Financial services,Australia,Test manager,,Tool already procured,Financial services,
2/05/2021 8:59,> 15 years,LoadRunner,"LoadRunner, JMeter",JMeter,Financial services,USA,Performance Engineering Lead,,Right tool for right job,Financial services,
2/05/2021 9:19,> 15 years,LoadRunner,"LoadRunner, Gatling",LoadRunner,"Utilities (i.e. water, gas , electricity), Emerging Technologies (i.e. IOT, AI, Blockchain, AR, Biometrics), Aviation ",USA,Sr System Engineer,,Tool already procured,Aviation ,
2/05/2021 12:21,> 15 years,Mark59,Mark59,Mark59,Financial services,Australia,Load tester,,Right tool for right job,Financial services,"1,000 -  2,499 VUs"
2/05/2021 13:27,> 15 years,internal,"JMeter, Oracle Application Testing Suite",LoadRunner,high-tech,USA,Staff Performance Engineer,,said to do so,high-tech,100 - 999 VUs
2/05/2021 14:02,1-5 years,JMeter,"LoadRunner, JMeter",LoadRunner,Retail,India,Performance Engineer,,"Right tool for right job, Experience with the tool, Tool already procured",Retail,0 - 100 VUs
2/05/2021 14:04,11-15 years,K6,"JMeter, K6, Flood (/Flood IO)",K6,"Retail, Entertainment",Australia,Sre ,,Right tool for right job,Health,"1,000 -  2,499 VUs"
2/05/2021 14:05,1-5 years,LoadRunner,"LoadRunner, NeoLoad, Soasta",LoadRunner,"Retail, Telecommunications",India,Test lead,,Experience with the tool,Banking,100 - 999 VUs
2/05/2021 14:08,1-5 years,JMeter,JMeter,JMeter,"Retail, Education, Entertainment",India,Test engineer,,"Cost considerations, Experience with the tool",Hrms,100 - 999 VUs
2/05/2021 14:14,6-10 years,Gatling,"LoadRunner, JMeter, Gatling",LoadRunner,"Financial services, Utilities (i.e. water, gas , electricity), Telecommunications, Entertainment, Government",Australia,Senior Consultant ,,"Cost considerations, Right tool for right job",Financial services,100 - 999 VUs
2/05/2021 14:49,6-10 years,JMeter,"LoadRunner, JMeter",JMeter,"Emerging Technologies (i.e. IOT, AI, Blockchain, AR, Biometrics)",India,Performance Engineer,,"Right tool for right job, Support readily available","Emerging Technologies (i.e. IOT, AI, Blockchain, AR, Biometrics)",0 - 100 VUs
2/05/2021 20:11,11-15 years,Rational Performance Tester,"NeoLoad, JMeter, StressStimulus",NeoLoad,"Financial services, Entertainment, Government",France,Consultant,,Experience with the tool,Financial services,"1,000 -  2,499 VUs"
2/05/2021 21:36,6-10 years,JMeter,JMeter,JMeter,Financial services,India,Performance tester,,"Cost considerations, Right tool for right job, Experience with the tool",Financial services,100 - 999 VUs
2/05/2021 21:54,> 15 years,Gatling,"JMeter, K6, Gatling, Artillery",Artillery,"Retail, Financial services",Australia,Director,,Right tool for right job,Financial services,"1,000 -  2,499 VUs"
4/05/2021 22:53,6-10 years,LoadRunner,LoadRunner,LoadRunner,Financial services,Italy,Application Performance engineer,,"Right tool for right job, Support readily available, Many technologies supported including web browser load test",Financial services,"5,000 - 9,999 VUs"
2/05/2021 22:46,6-10 years,LoadRunner,"LoadRunner, JMeter",LoadRunner,"Retail, Telecommunications",Japan,Senior Performance Test Engineer,,"Right tool for right job, Experience with the tool",Telecommunications,"> 50,000 VUs"
3/05/2021 1:07,> 15 years,JMeter,"JMeter, Locust, BlazeMeter, Tsung",BlazeMeter,"Retail, Telecommunications",spain,sre,,Experience with the tool,Retail,"1,000 -  2,499 VUs"
3/05/2021 1:21,11-15 years,K6,"JMeter, Gatling, Visual studio web Performance ",K6,"Financial services, Utilities (i.e. water, gas , electricity), Emerging Technologies (i.e. IOT, AI, Blockchain, AR, Biometrics)",Colombia,S.R.E ,,"Cost considerations, Right tool for right job, Support readily available, Performance and cmfort",Digital Product Real  Estate and Fintech,100 - 999 VUs
3/05/2021 1:57,> 15 years,LoadRunner,"LoadRunner, JMeter",LoadRunner,Financial services,USA,Performance Engineer,,"Right tool for right job, Experience with the tool, Tool already procured, Support readily available",Financial services,"1,000 -  2,499 VUs"
3/05/2021 2:44,1-5 years,K6,"JMeter, K6",JMeter,"Financial services, Gaming and Gambling, Health care",India,Performance Engineer 2,,"Experience with the tool, Was already being used when joined an organization. ",Financial services,"5,000 - 9,999 VUs"
3/05/2021 7:17,11-15 years,NeoLoad,"LoadRunner, NeoLoad, JMeter",NeoLoad,"Financial services, Telecommunications",Italy,Perf. Eng.,,"Cost considerations, Right tool for right job",Financial services,100 - 999 VUs
3/05/2021 11:01,11-15 years,JMeter,"LoadRunner, JMeter, Gatling, BlazeMeter, Flood (/Flood IO)",Gatling,"Financial services, Utilities (i.e. water, gas , electricity), Education, Telecommunications, Government",Australia,Consultant,,"Cost considerations, Right tool for right job",Education,"> 50,000 VUs"
4/05/2021 1:18,1-5 years,LoadRunner,LoadRunner,LoadRunner,Pharma,India,Performance Tester,,Tool already procured,Pharma,"2,500 - 4,999 VUs"
4/05/2021 2:10,6-10 years,JMeter,"LoadRunner, NeoLoad, JMeter",LoadRunner,"Financial services, Education, Telecommunications, Entertainment",India,Senior Associate- Projects / Performance Test Lead,,Cost considerations,"Emerging Technologies (i.e. IOT, AI, Blockchain, AR, Biometrics)","1,000 -  2,499 VUs"
4/05/2021 2:42,11-15 years,JMeter,"LoadRunner, JMeter, Gatling",LoadRunner,"Retail, Financial services, Government, Healthcare, Analytics",India,Performance QA Manager,,Cost considerations,Healthcare,"1,000 -  2,499 VUs"
4/05/2021 3:00,1-5 years,JMeter,JMeter,JMeter,"Retail, Financial services, Transport, Entertainment",Portugal,Performance Engineer,,Right tool for right job,Retail,"1,000 -  2,499 VUs"
4/05/2021 4:32,6-10 years,Soasta,"JMeter, BlazeMeter, Soasta",Soasta,Retail,USA,Performance engineer,,"Right tool for right job, Experience with the tool, Support readily available",Retail,"2,500 - 4,999 VUs"
4/05/2021 4:58,6-10 years,LoadRunner,"JMeter, BlazeMeter",LoadRunner,"Financial services, Telecommunications",Italy,Automation engineer,,"Cost considerations, Experience with the tool, Tool already procured",Telecommunications,"5,000 - 9,999 VUs"
4/05/2021 5:51,6-10 years,LoadRunner,"LoadRunner, NeoLoad",LoadRunner,Financial services,Italy,Senior Performance Engineer,,"Right tool for right job, Experience with the tool",Financial services,100 - 999 VUs
4/05/2021 5:52,> 15 years,JMeter,JMeter,JMeter,"Retail, Financial services, Telecommunications",UK,Performance Engineer,,Right tool for right job,Financial services,"1,000 -  2,499 VUs"
4/05/2021 12:27,11-15 years,NeoLoad,"LoadRunner, JMeter",NeoLoad,Transport,Netherlands,Senior performance engineer,,Right tool for right job,Transport,"1,000 -  2,499 VUs"
4/05/2021 20:46,11-15 years,LoadRunner,"LoadRunner, JMeter, BlazeMeter",LoadRunner,Telecommunications,India,Performance engineer,,"Experience with the tool, Tool already procured",CRM,"1,000 -  2,499 VUs"
4/05/2021 21:23,6-10 years,LoadRunner,"LoadRunner, JMeter",LoadRunner,"Financial services, Transport",India,Software Engineer,,Right tool for right job,Financial services,"5,000 - 9,999 VUs"
4/05/2021 22:51,1-5 years,LoadRunner,LoadRunner,LoadRunner,Financial services,Italy,Performance Engineer,,"Right tool for right job, Experience with the tool, Tool already procured",Financial services,"2,500 - 4,999 VUs"
5/05/2021 17:47,1-5 years,K6,"JMeter, K6",K6,Financial services,United Kingdom ,Senior Test Engineer ,,Experience with the tool,Financial services,100 - 999 VUs
5/05/2021 17:49,1-5 years,JMeter,LoadRunner,LoadRunner,"Financial services, Healthcare",India,Senior Performance Engineer,,"Cost considerations, Right tool for right job",Financial services,"1,000 -  2,499 VUs"
5/05/2021 18:10,6-10 years,JMeter,"LoadRunner, JMeter, Rational Performance Tester",JMeter,"Retail, Transport, Entertainment",India,Associated test lead,,Cost considerations,Retail,100 - 999 VUs
5/05/2021 18:47,6-10 years,LoadRunner,"LoadRunner, NeoLoad, JMeter",JMeter,"Financial services, Emerging Technologies (i.e. IOT, AI, Blockchain, AR, Biometrics), Telecommunications",India,Performance consultant,,"Cost considerations, Right tool for right job",Financial services,"1,000 -  2,499 VUs"
5/05/2021 19:12,> 15 years,Gatling,"JMeter, Gatling",Gatling,"Financial services, Transport, Government",Netherlands ,Performance Test Engineer,,"Right tool for right job, Experience with the tool",Retail,"1,000 -  2,499 VUs"
5/05/2021 19:12,6-10 years,JMeter,"NeoLoad, JMeter",NeoLoad,"Retail, Entertainment",UK,Performance Test Engineer,,"Cost considerations, Right tool for right job",Retail,100 - 999 VUs
5/05/2021 19:15,> 15 years,NeoLoad,NeoLoad,NeoLoad,Financial services,Belgiun,Technical Architect,,"Cost considerations, Right tool for right job, Experience with the tool, Tool already procured, Support readily available",Financial services,100 - 999 VUs
5/05/2021 19:16,6-10 years,JMeter,"LoadRunner, JMeter",Silk Performer,"Financial services, Government, Healthcare",Ireland,Senior Performance Engineer,,"Cost considerations, Right tool for right job",Healthcare,0 - 100 VUs
5/05/2021 19:18,1-5 years,JMeter,"LoadRunner, JMeter",JMeter,Financial services,India,Performance Test Engineer,,"Cost considerations, Right tool for right job, Experience with the tool",Financial services,"10,000 - 49,999 VUs"
5/05/2021 20:00,1-5 years,NeoLoad,"NeoLoad, JMeter",NeoLoad,"Financial services, Utilities (i.e. water, gas , electricity), Government",Morocco,IT Architecture & Performance consultant,,"Right tool for right job, Experience with the tool",Financial services,0 - 100 VUs
5/05/2021 20:49,11-15 years,Gatling,"LoadRunner, Gatling",Gatling,Retail,UK,Performance Test Consultant,,"Experience with the tool, Tool already procured",Transport,"5,000 - 9,999 VUs"
5/05/2021 21:01,11-15 years,JMeter,"LoadRunner, NeoLoad, JMeter, Gatling",JMeter,"Retail, Financial services",Australia,Lead Consultant,,Right tool for right job,Financial services,0 - 100 VUs
5/05/2021 21:07,6-10 years,LoadRunner,"LoadRunner, JMeter, BlazeMeter",NeoLoad,"Retail, Financial services",India,Performance Engineer,,Tool already procured,Financial services,100 - 999 VUs
5/05/2021 22:25,1-5 years,LoadRunner,LoadRunner,LoadRunner,"Retail, Utilities (i.e. water, gas , electricity)",India,Quality Assurance Analyst,,"Right tool for right job, Experience with the tool, I prefer LoadRunner as it helps to reduce lots of timing in terms of Scripting and generate high level report in very simple format. I started my carrier with this and during that time i felt Jmeter needs quite hard work compare to LoadRunner",Supply chain management Product.,100 - 999 VUs
5/05/2021 23:45,11-15 years,LoadRunner,LoadRunner,LoadRunner,Healthcare,USA,Performance Architect,,"Right tool for right job, Experience with the tool, Tool already procured",Healthcare,"10,000 - 49,999 VUs"
6/05/2021 0:25,6-10 years,LoadRunner,"LoadRunner, NeoLoad, Rational Performance Tester",LoadRunner,Financial services,India,Senior Performance Engineer,,"Right tool for right job, Experience with the tool, Support readily available",Financial services,"2,500 - 4,999 VUs"
6/05/2021 0:28,1-5 years,BlazeMeter,"NeoLoad, JMeter, WebLoad, BlazeMeter, Flood (/Flood IO)",JMeter,Retail,India,Performance Engineer,,Support readily available,Retail,"1,000 -  2,499 VUs"
6/05/2021 0:36,> 15 years,LoadRunner,"LoadRunner, JMeter, BlazeMeter",LoadRunner,"Retail, Financial services, Transport, Travel & Leisure",USA,Test Practice Leader,,"Right tool for right job, Experience with the tool, Support readily available, Tool has all the capabilities and functionality to do the job",Consulting for various companies,"5,000 - 9,999 VUs"
6/05/2021 1:17,11-15 years,JMeter,"LoadRunner, JMeter, Silk Performer, BlazeMeter",JMeter,"Retail, Utilities (i.e. water, gas , electricity), Education, Healthcare",India,Technical Lead - Performance Engineering,,"Cost considerations, Right tool for right job, Experience with the tool",Education,"> 50,000 VUs"
6/05/2021 1:55,6-10 years,JMeter,JMeter,JMeter,Financial services,India,Senior engineer,,"Cost considerations, Right tool for right job, Experience with the tool",Financial services,100 - 999 VUs
6/05/2021 6:04,> 15 years,LoadRunner,LoadRunner,LoadRunner,"Transport, Healthcare",USA,Solutions/Performance Architect,,"Right tool for right job, Experience with the tool, Tool already procured, Support readily available",Healthcare,"2,500 - 4,999 VUs"
6/05/2021 6:43,1-5 years,JMeter,"LoadRunner, JMeter",JMeter,Telecommunications,Australia,Performance Engineer ,,"Right tool for right job, Experience with the tool, Free",Telecommunications,"1,000 -  2,499 VUs"
6/05/2021 7:55,11-15 years,K6,"JMeter, K6, Gatling",JMeter,Financial services,Australia,Lead SRE,,"Right tool for right job, Increasing open source community, also wanted to expand knowledge in another tool.  It was a simple https flow so low risk in trialing a new tool.",Financial services,0 - 100 VUs
6/05/2021 12:38,6-10 years,JMeter,"LoadRunner, JMeter",LoadRunner,Retail,India,Senior performance tester,,"Cost considerations, Right tool for right job, Experience with the tool, Support readily available",Retail,"5,000 - 9,999 VUs"
7/05/2021 2:08,1-5 years,LoadRunner,LoadRunner,JMeter,Retail,India,Test analyst,,"Right tool for right job, Tool already procured",Retail,100 - 999 VUs
8/05/2021 4:55,6-10 years,LoadRunner,"LoadRunner, JMeter",LoadRunner,Telecommunications,India,Application Development Senior Analyst,,Experience with the tool,Telecommunications,"1,000 -  2,499 VUs"
8/05/2021 15:31,11-15 years,JMeter,"JMeter, K6, Gatling",JMeter,Financial services,Australia,Performance Engineering lead ,,"Cost considerations, Right tool for right job, Experience with the tool",Financial services,"1,000 -  2,499 VUs"
8/05/2021 23:35,1-5 years,JMeter,"LoadRunner, JMeter, Gatling, BlazeMeter",JMeter,"Financial services, Emerging Technologies (i.e. IOT, AI, Blockchain, AR, Biometrics)",Bangladesh,"Engineer Level - II, SQA",,Tool already procured,"Emerging Technologies (i.e. IOT, AI, Blockchain, AR, Biometrics)","> 50,000 VUs"
9/05/2021 16:54,6-10 years,JMeter,"LoadRunner, JMeter, BlazeMeter",JMeter,"Financial services, Emerging Technologies (i.e. IOT, AI, Blockchain, AR, Biometrics), Healthcare",India,Lead Performance Engineer,,"Cost considerations, Right tool for right job","Emerging Technologies (i.e. IOT, AI, Blockchain, AR, Biometrics)","1,000 -  2,499 VUs"
10/05/2021 11:17,> 15 years,JMeter,"LoadRunner, JMeter, Gatling",LoadRunner,Hospitality,USA,Performance Architect,,Tool already procured,Health Care,"10,000 - 49,999 VUs"
11/05/2021 15:46,> 15 years,JMeter,"LoadRunner, NeoLoad, JMeter, Silk Performer",LoadRunner,"Retail, Financial services, Utilities (i.e. water, gas , electricity), Education, Telecommunications, Entertainment, Government",Australia,Principal Consultant,,"Cost considerations, Experience with the tool, Tool already procured",Financial services,"5,000 - 9,999 VUs"
11/05/2021 19:27,6-10 years,JMeter,"LoadRunner, JMeter, BlazeMeter",JMeter,Financial services,India,Head QA,,"Cost considerations, Right tool for right job, Experience with the tool, Support readily available",Financial services,"1,000 -  2,499 VUs"
13/05/2021 12:11,11-15 years,JMeter,"LoadRunner, NeoLoad, JMeter, BlazeMeter",JMeter,"Retail, Financial services, Utilities (i.e. water, gas , electricity), Education",India,Senior Performance Manager,,"Cost considerations, Right tool for right job, Experience with the tool, Support readily available",Financial services,"5,000 - 9,999 VUs"
13/05/2021 16:15,> 15 years,LoadRunner,LoadRunner,LoadRunner,"Financial services, Utilities (i.e. water, gas , electricity), Telecommunications, Professional Services",USA,Principal Solution Architect,,Tool already procured,Financial services,"> 50,000 VUs"
14/05/2021 20:03,6-10 years,LoadRunner,"LoadRunner, JMeter, Rational Performance Tester",LoadRunner,Retail,Australia,Performance Test engineer,,"Right tool for right job, Experience with the tool, Tool already procured, Support readily available",Retail,"5,000 - 9,999 VUs"
15/05/2021 14:46,6-10 years,LoadRunner,LoadRunner,LoadRunner,"Retail, Financial services",India,Performance Test Analyst,,"Cost considerations, Right tool for right job, Experience with the tool, Tool already procured, Support readily available",Financial services,"2,500 - 4,999 VUs"
18/05/2021 10:08,6-10 years,BlazeMeter,"LoadRunner, JMeter, BlazeMeter",JMeter,"Retail, Financial services, Education",India,Sr Associate,,"Cost considerations, Tool already procured",Education,"5,000 - 9,999 VUs"
18/05/2021 12:23,> 15 years,LoadRunner,"LoadRunner, rfswarm",rfswarm,"Utilities (i.e. water, gas , electricity), Government",Australia,LoadRunner Specialist â€“  Performance Testing,,"Right tool for right job, Experience with the tool, Tool already procured, Support readily available",Government,"1,000 -  2,499 VUs"
18/05/2021 22:52,6-10 years,LoadRunner,"LoadRunner, JMeter, BlazeMeter",LoadRunner,Financial services,India,Consultant,,"Right tool for right job, Experience with the tool, Tool already procured, Support readily available",Financial services,"1,000 -  2,499 VUs"
19/05/2021 12:33,6-10 years,Locust,"LoadRunner, JMeter",LoadRunner,Financial services,India,Team lead,,"Right tool for right job, Experience with the tool, Support readily available",Automobile,0 - 100 VUs
28/05/2021 4:38,6-10 years,LoadRunner,LoadRunner,LoadRunner,"Telecommunications, Entertainment",USA,Sr. ,,"Right tool for right job, Experience with the tool, Tool already procured, Support readily available",Telecommunications,"2,500 - 4,999 VUs"
28/05/2021 21:33,6-10 years,LoadRunner,"LoadRunner, JMeter",LoadRunner,"Retail, Financial services, Transport",India,sr performance engineer,,Right tool for right job,Financial services,"10,000 - 49,999 VUs"
5/06/2021 11:59,0 - 1 year,Locust,Locust,Locust,Financial services,USA,QA Lead,,"Right tool for right job, Experience with the tool",Financial services,0 - 100 VUs
6/06/2021 7:05,6-10 years,Gatling,"K6, Gatling",Gatling,"Entertainment, Marketing",USA,Quality Engineer,,"Cost considerations, Right tool for right job",Entertainment,"1,000 -  2,499 VUs"
9/06/2021 7:28,0 - 1 year,JMeter,JMeter,JMeter,Retail,Ireland,Performance Tester,,"Cost considerations, Right tool for right job",Retail,100 - 999 VUs
10/06/2021 23:15,1-5 years,Locust,"JMeter, Gatling, Locust",Locust,Logistics,Brazil,Senior Software Engineer,,"Cost considerations, Experience with the tool",Delivery,"> 50,000 VUs"
12/06/2021 16:59,1-5 years,JMeter,"JMeter, Gatling, Locust",JMeter,"Retail, Transport, Telecommunications",USA,Performance Engineer,,"Cost considerations, Right tool for right job, Experience with the tool",Retail,"2,500 - 4,999 VUs"
